# x1,x2,x3,y1,y2,y3
-5.305470991595017338e+00,-4.060091546312110111e+00,-5.261290063579700416e+00,-1.266633341637421317e+01,-3.796150207503480090e+00,3.691711607714853738e+00
-5.540358799798316802e+00,-5.003180296046584097e+00,-3.992591874183101464e+00,-1.100772693312766926e+01,-3.985625029797718710e+00,4.900004018657700300e+00
-4.982127532448981988e+00,-4.584493618524960290e+00,-4.331225910622564790e+00,-1.169731473922241705e+01,-3.589276986139631198e+00,5.046862738733610243e+00
-4.495706136729562985e+00,-5.064138383946066746e+00,-4.782018090879345706e+00,-1.197801037179369210e+01,-3.597071033214089830e+00,4.635936244474174295e+00
-4.442153858458508076e+00,-4.411370230098516920e+00,-4.567509202887882758e+00,-1.241495176320369254e+01,-2.799504085258174513e+00,4.739698712477975029e+00
-4.149928463385630373e+00,-4.293689974345431537e+00,-4.141905168097076206e+00,-1.069200265818171758e+01,-3.651107489190228872e+00,5.058610703004182696e+00
-3.752934586735699352e+00,-4.240343906095354498e+00,-4.076497090853659522e+00,-1.057124412731287322e+01,-4.556579120217995715e+00,4.559253701117691016e+00
-4.165066762638377718e+00,-3.998361338512842700e+00,-4.987182370967227385e+00,-1.149460380363771428e+01,-3.416584213682390736e+00,3.318975193538875601e+00
-4.182293082298393472e+00,-3.843450030622004743e+00,-4.129576574120539689e+00,-1.095263846049519429e+01,-3.237351823406642293e+00,4.362378835513606390e+00
-4.020192337195559240e+00,-3.474090873768127086e+00,-3.998257024234037615e+00,-1.096273767993031001e+01,-3.479459801147917197e+00,3.769283581009594375e+00
-4.580013522805871595e+00,-4.553415890843144354e+00,-3.646500059756556666e+00,-1.045568522684019186e+01,-3.727910895578765427e+00,3.684498928181650257e+00
-4.132208326545610433e+00,-2.885470408926311237e+00,-3.233027027949836540e+00,-1.087204385867531009e+01,-3.930304382357536319e+00,3.923087472574702250e+00
-3.674262579455914057e+00,-3.411733423124960751e+00,-4.256027951309943269e+00,-1.063435822646759732e+01,-2.609694392064753732e+00,4.107427168425297204e+00
-4.265111844158923304e+00,-3.795735129959456611e+00,-2.783732122897682792e+00,-1.025266072810947904e+01,-1.828491605804554831e+00,4.591249452313800994e+00
-3.212137624046634166e+00,-3.840323438886419360e+00,-4.521449529681971669e+00,-1.008383438240681684e+01,-3.077902718535979965e+00,4.405975578223584321e+00
-3.408185485010097882e+00,-3.638344111355968025e+00,-5.175644659220692390e+00,-1.052024861001947187e+01,-3.008834501233835113e+00,3.831303381519515217e+00
-2.818387949635712708e+00,-3.589898978531150142e+00,-3.711271234231085181e+00,-1.031693056802613029e+01,-2.475985533152476492e+00,3.047970829428741091e+00
-3.345614396131741053e+00,-3.912902387531430826e+00,-4.581797511992752980e+00,-9.739754399969461574e+00,-3.152305351805071432e+00,4.241025425005015670e+00
-3.413585100848144371e+00,-3.537688218033423038e+00,-3.501104171096033557e+00,-9.775551943036255409e+00,-2.582939497751521429e+00,4.046615930866263255e+00
-2.376361732207464605e+00,-2.305194069281901736e+00,-3.243358479745205525e+00,-1.018773309465052179e+01,-1.496691735693231440e+00,3.284754403512518905e+00
-3.309370448710450496e+00,-3.645118676498569243e+00,-2.380384934590490609e+00,-1.012978568947622726e+01,-1.421359621331391487e+00,3.780877735913608984e+00
-2.753763551651005059e+00,-2.378709877940908601e+00,-3.742899405337495988e+00,-9.990710915641461298e+00,-1.682765565454521717e+00,3.562518643160955012e+00
-3.773191966596256997e+00,-2.558822337498777966e+00,-3.025824341424597108e+00,-9.230153287872305157e+00,-2.002870788117379508e+00,3.991397407470725245e+00
-2.020787936279921482e+00,-2.371645386131040034e+00,-3.137548537596750453e+00,-8.686058503828181898e+00,-2.399947164013387813e+00,3.467055431977532631e+00
-3.001041811509584711e+00,-2.287550805528407949e+00,-1.472029684719350806e+00,-8.269031618966897312e+00,-1.588671804679344213e+00,2.892999711353060999e+00
-2.411730964079987771e+00,-2.412713136516501322e+00,-2.762046901356697060e+00,-8.912751805947710437e+00,-1.414373975582369880e+00,3.398350738671066296e+00
-2.917820827300227737e+00,-2.006151288124335075e+00,-1.896246317957428262e+00,-9.517192149033169457e+00,-7.115008039365233738e-01,2.418207789399128949e+00
-2.891472423500486055e+00,-2.170041455026523902e+00,-2.979428136450339881e+00,-8.275291306765417687e+00,-1.953759957032022099e+00,2.646894875062317354e+00
-3.382295096021306513e+00,-2.488877495658694095e+00,-2.871430644193256221e+00,-9.186196357635525445e+00,-1.726196792331159191e+00,3.449944386653825301e+00
-2.704708268550578332e+00,-2.605163876274884327e+00,-1.715216621425265542e+00,-8.633016453875175245e+00,-1.011455631657118825e+00,2.636983257233144418e+00
-2.244144701735902192e+00,-1.216993599231872558e+00,-2.666143328694375203e+00,-8.397239936284044859e+00,-1.263460488585050445e+00,2.661857503697765637e+00
-1.954408662927770379e+00,-2.446710951973274373e+00,-2.002372119952996243e+00,-8.534075424388253950e+00,-1.088104217665593954e+00,3.290965307040760290e+00
-1.877933436898777675e+00,-1.228113479599073798e+00,-1.628218245200999448e+00,-8.240987733611445876e+00,-7.414419667283176363e-01,3.623395567256763705e+00
-1.100860822096255021e+00,-2.049441851401429204e+00,-1.616817194470470787e+00,-8.029244459637817855e+00,-3.493591677138476737e-01,2.591702137547767126e+00
-1.806990775516653436e+00,-2.095212804120243355e+00,-2.381210417776311594e+00,-7.328129227985506589e+00,-7.962017509455651121e-01,2.971969368355390717e+00
-7.880379669501519357e-01,-1.601873612783197176e+00,-1.635958896306847210e+00,-7.842689336334923489e+00,-1.222631024450089310e+00,2.714225462967666758e+00
-5.022290808057569000e-01,-9.316937839157839463e-01,-1.048240549012080081e+00,-7.434423510430732129e+00,-6.309695629673245376e-01,2.258680894009871043e+00
-1.428791659955728655e+00,-2.125885891594264443e+00,-1.336072974397144897e+00,-6.775377985300639061e+00,-1.935141634570134994e-01,2.566277717590983887e+00
